Date,Open,High,Low,Close,Adj Close,Volume
11/10/2016,16562.85938,17393.82031,16560.66016,17344.41992,17344.41992,229400000
11/11/2016,17526.60938,17621.73047,17333.49023,17374.78906,17374.78906,241800000
11/14/2016,17467.49023,17697.33008,17455.7793,17672.61914,17672.61914,165300000
11/15/2016,17690.2207,17727.58008,17605.76953,17668.15039,17668.15039,173200000
11/16/2016,17832.50977,17886.43945,17807.4707,17862.21094,17862.21094,200300000
11/17/2016,17766.60938,17884.06055,17764.08008,17862.63086,17862.63086,161100000
11/18/2016,18024.21094,18043.7207,17967.41016,17967.41016,17967.41016,166800000
11/21/2016,18038.08984,18129.0293,18007.78906,18106.01953,18106.01953,135700000
11/22/2016,18091.05078,18175.63086,18050.55078,18162.93945,18162.93945,121900000
11/24/2016,18329.7793,18382.7207,18310.31055,18333.41016,18333.41016,149400000
11/25/2016,18387.58984,18482.93945,18288.5,18381.2207,18381.2207,164900000
11/28/2016,18302.58008,18374.92969,18222.82031,18356.89063,18356.89063,145000000
11/29/2016,18263.63086,18327.50977,18258.82031,18307.03906,18307.03906,125600000
11/30/2016,18356.0293,18370.31055,18280.66016,18308.48047,18308.48047,164700000
12/1/2016,18535.24023,18746.2793,18469.26953,18513.11914,18513.11914,188000000
12/2/2016,18435.55078,18469.67969,18315.38086,18426.08008,18426.08008,197200000
12/5/2016,18349.91992,18365.74023,18227.39063,18274.99023,18274.99023,134500000
12/6/2016,18457.19922,18484.80078,18318.99023,18360.53906,18360.53906,158800000
12/7/2016,18434.53906,18502.4707,18410.88086,18496.68945,18496.68945,151700000
12/8/2016,18674.18945,18765.4707,18614.00977,18765.4707,18765.4707,187400000
12/9/2016,18839.98047,19042.48047,18821.41016,18996.36914,18996.36914,212300000
12/12/2016,19183.82031,19280.92969,19054,19155.0293,19155.0293,200600000
12/13/2016,19120.75977,19253.50977,19060.7207,19250.51953,19250.51953,147600000
12/14/2016,19270.00977,19284.2793,19184.75,19253.60938,19253.60938,133200000
12/15/2016,19327.69922,19436.90039,19192.59961,19273.78906,19273.78906,154600000
12/16/2016,19438.39063,19439.9707,19360.35938,19401.15039,19401.15039,148700000
12/19/2016,19345.83984,19399.25977,19307.14063,19391.59961,19391.59961,106000000
12/20/2016,19367.83984,19511.19922,19356.81055,19494.5293,19494.5293,119600000
12/21/2016,19547.2793,19592.90039,19375.18945,19444.49023,19444.49023,130300000
